scenario,addr_buffer_m,sfh_min,n_segments,sum_sfh_addresses,median_seg_len_m,median_addr_density_per_100m,addresses_initial,addresses_after_zoning,addresses_after_cpd,addresses_final,addresses_filtered,zoning_mode,zoning_codes_n,cpd_exclude_n
b15_m4,15,4,456,2814,196.07501913723314,3.678316976780934,458153,179345,179345,179345,278808,include,2,1
b15_m6,15,6,191,1653,201.707568191221,4.330630318389477,458153,179345,179345,179345,278808,include,2,1
b15_m8,15,8,106,1106,205.79819415394437,4.811814124818746,458153,179345,179345,179345,278808,include,2,1
b15_m10,15,10,49,620,206.58613508324456,5.544934715248517,458153,179345,179345,179345,278808,include,2,1
b25_m4,25,4,11302,116871,126.91377994820792,6.484027791069134,458153,179345,179345,179345,278808,include,2,1
b25_m6,25,6,7822,101424,165.58731232647423,7.2127488991972335,458153,179345,179345,179345,278808,include,2,1
b25_m8,25,8,5638,87376,195.3046977649781,7.563251657759892,458153,179345,179345,179345,278808,include,2,1
b25_m10,25,10,4361,76625,208.1321492961488,7.863000495457931,458153,179345,179345,179345,278808,include,2,1
b35_m4,35,4,13474,158440,116.10554361137969,7.890382731210616,458153,179345,179345,179345,278808,include,2,1
b35_m6,35,6,10131,143473,143.87225078092098,8.573860313204417,458153,179345,179345,179345,278808,include,2,1
b35_m8,35,8,7658,127520,172.43652624828053,8.947362329326392,458153,179345,179345,179345,278808,include,2,1
b35_m10,35,10,6071,114132,193.8153705079875,9.125810418654762,458153,179345,179345,179345,278808,include,2,1
